Company Name,Sales 5 quarter old,Sales 4 quarter old,Sales 3 quarter old,Sales 2 quarter old,Sales 1 quarter old,Expense 5 quarter old,Expense 4 quarter old,Expense 3 quarter old,Expense 2 quarter old,Expense 1 quarter old,Operating Profit 5 quarter old ,Operating Profit 4 quarter old ,Operating Profit 3 quarter old ,Operating Profit 2 quarter old ,Operating Profit 1 quarter old ,OPM 5 quarter old,OPM 4 quarter old,OPM 3 quarter old,OPM 2 quarter old,OPM 1 quarter old,Other Income 5 quarter old,Other Income 4 quarter old,Other Income 3 quarter old,Other Income 2 quarter old,Other Income 1 quarter old,Interest 5 quarter old,Interest 4 quarter old,Interest 3 quarter old,Interest 2 quarter old,Interest 1 quarter old,Depreciation 5 quarter old,Depreciation 4 quarter old,Depreciation 3 quarter old,Depreciation 2 quarter old,Depreciation 1 quarter old,Profit before tax 5 quarter old,Profit before tax 4 quarter old,Profit before tax 3 quarter old,Profit before tax 2 quarter old,Profit before tax 1 quarter old,Tax 5 quarter old,Tax 4 quarter old,Tax 3 quarter old,Tax 2 quarter old,Tax 1 quarter old,Net Profit 5 quarter old,Net Profit 4 quarter old,Net Profit 3 quarter old,Net Profit 2 quarter old,Net Profit 1 quarter old,EPS 5 quarter old,EPS 4 quarter old,EPS 3 quarter old,EPS 2 quarter old,EPS 1 quarter old,Change in price
Reliance Industries Ltd,207375.00,219304.00,230055.00,217164.00,212945.00,176009.00,181372.00,198906.00,181917.00,174505.00,31366.00,37932.00,31149.00,35247.00,38440.00,15%,17%,14%,16%,18%,2602.00,2247.00,3514.00,3213.00,2949.00,3556.00,3997.00,4554.00,5201.00,5819.00,8001.00,8946.00,9730.00,10187.00,11456.00,22411.00,27236.00,20379.00,23072.00,24114.00,20%,29%,24%,23%,12%,18021.00,19443.00,15512.00,17806.00,21327.00,23.95,26.54,20.19,23.34,28.53,14.82
Tata Consultancy Services Ltd,50591.00,52758.00,55309.00,58229.00,59162.00,36746.00,39342.00,40793.00,42676.00,43388.00,13845.00,13416.00,14516.00,15553.00,15774.00,27%,25%,26%,27%,27%,981.00,789.00,965.00,520.00,1175.00,245.00,199.00,148.00,160.00,272.00,1217.00,1230.00,1237.00,1269.00,1286.00,13364.00,12776.00,14096.00,14644.00,15391.00,25%,25%,26%,26%,26%,9959.00,9519.00,10465.00,10883.00,11436.00,27.13,25.90,28.51,29.64,31.13,1.16
HDFC Bank Ltd,35574.00,37274.00,40930.00,45002.00,47548.00,15227.00,16358.00,18311.00,20505.00,22606.00,15044.00,15021.00,15915.00,16682.00,17770.00,"5,304","5,895","6,704","7,815","7,172",0.15,0.16,0.16,0.17,0.15,8386.00,6929.00,8252.00,9121.00,9610.00,0.00,0.00,0.00,0.00,0.00,13690.00,12823.00,14956.00,16936.00,16783.00,23%,25%,25%,25%,25%,10475.00,9617.00,11163.00,12735.00,12634.00,18.83,17.25,19.97,22.77,22.57,0.60
ICICI Bank Ltd,24999.00,26159.00,28850.00,31619.00,34439.00,10634.00,11089.00,11997.00,12978.00,14479.00,21775.00,18137.00,22336.00,22946.00,25959.00,"-7,410","-3,068","-5,483","-4,305","-6,000",-0.30,-0.12,-0.19,-0.14,-0.17,18013.00,13271.00,16634.00,16470.00,19735.00,0.00,0.00,0.00,0.00,0.00,10604.00,10203.00,11151.00,12165.00,13735.00,24%,25%,25%,25%,25%,8089.00,7698.00,8361.00,9166.00,10236.00,11.11,10.62,11.49,12.60,14.11,10.80
Hindustan Unilever Ltd,13767.00,14624.00,15144.00,15597.00,15215.00,10466.00,11222.00,11665.00,11903.00,11642.00,3301.00,3402.00,3479.00,3694.00,3573.00,24%,23%,23%,24%,23%,136.00,121.00,80.00,7.00,239.00,38.00,28.00,28.00,29.00,29.00,278.00,281.00,272.00,293.00,291.00,3121.00,3214.00,3259.00,3379.00,3492.00,26%,26%,18%,27%,26%,2307.00,2391.00,2670.00,2481.00,2601.00,9.81,10.13,11.34,10.53,11.07,9.90
ITC Ltd,16556.00,18489.00,17108.00,17705.00,17635.00,10956.00,12412.00,10849.00,11000.00,11011.00,5599.00,6077.00,6259.00,6705.00,6624.00,34%,33%,37%,38%,38%,499.00,321.00,455.00,595.00,683.00,11.00,9.00,13.00,9.00,12.00,467.00,438.00,462.00,447.00,461.00,5620.00,5950.00,6239.00,6844.00,6833.00,24%,25%,25%,26%,24%,4266.00,4472.00,4682.00,5080.00,5243.00,3.40,3.56,3.73,4.03,4.16,19.32
Infosys Ltd,32276.00,34470.00,36538.00,38318.00,37441.00,24430.00,26606.00,27636.00,28951.00,28443.00,7846.00,7864.00,8902.00,9367.00,8998.00,24%,23%,24%,24%,24%,637.00,676.00,584.00,769.00,671.00,50.00,56.00,66.00,80.00,82.00,890.00,950.00,1029.00,1125.00,1121.00,7543.00,7534.00,8391.00,8931.00,8466.00,24%,29%,28%,26%,28%,5695.00,5362.00,6026.00,6586.00,6134.00,13.52,12.74,14.31,15.70,14.77,-9.42
State Bank of India,74608.00,76781.00,84463.00,91518.00,98083.00,39944.00,41931.00,45232.00,49366.00,53451.00,54233.00,42328.00,49208.00,56498.00,59965.00,"-19,569","-7,478","-9,977","-14,346","-15,334",-0.26,-0.10,-0.12,-0.16,-0.16,33427.00,17743.00,30320.00,35701.00,38769.00,0.00,0.00,0.00,0.00,0.00,13858.00,10265.00,20342.00,21355.00,23436.00,28%,27%,26%,27%,22%,10191.00,7796.00,15297.00,15888.00,18769.00,10.70,8.21,16.53,17.34,20.27,6.93
Housing Development Finance Corporation Ltd,35047.00,23183.00,43917.00,41206.00,44634.00,6925.00,7688.00,8762.00,9932.00,10464.00,22373.00,10997.00,29749.00,26127.00,27719.00,"5,748","4,499","5,406","5,148","6,451",0.16,0.19,0.12,0.12,0.14,2461.00,2195.00,2965.00,3064.00,2999.00,153.00,150.00,150.00,152.00,146.00,8056.00,6544.00,8221.00,8061.00,9305.00,14%,15%,14%,12%,14%,6892.00,5574.00,7043.00,7078.00,8005.00,35.62,29.26,36.06,36.54,41.56,2.18
Bharti Airtel Ltd,31500.00,32805.00,34527.00,35804.00,36009.00,15460.00,16275.00,16933.00,17720.00,17312.00,16040.00,16529.00,17594.00,18085.00,18697.00,51%,50%,51%,51%,52%,1638.00,355.00,559.00,-412.00,886.00,4059.00,4511.00,4940.00,4686.00,5163.00,8583.00,8781.00,8947.00,9298.00,9406.00,5037.00,3592.00,4265.00,3689.00,5014.00,26%,31%,30%,29%,16%,3715.00,2469.00,2979.00,2614.00,4226.00,3.41,2.73,3.86,2.85,5.39,9.57
